doc_id,source_filename,year,epoch,route,extract_status,structured_status,embedding_status,metrics_status,processed_present,structured_present,embedding_present,upstream_complete
jae_5cc672acfa22,2000_DO-OFF-CAMPUS-COURSES-POSSESS-A-LEVEL-OF-QUALITY-COMPARABLE-TO-THAT-OF-ON-CAMPUS-COURSES-.pdf,2000,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_036cbe168c3d,2000_EDUCATIONAL-NEEDS-AND-PERCEPTIONS-OF-IOWA-BEGINNING-FARMERS-TOWARD-THEIR-EDUCATION.pdf,2000,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_602f7d6d4806,2000_ELEMENTARY-AND-MIDDLE-SCHOOL-TEACHER-IDEAS-ABOUT-THE-AGRI-FOOD-SYSTEM-AND-THEIR-EVALUATION-OF-AGRI-SYSTEM-STAKEHOLDERS-SUGGESTIONS-FOR-EDUCATION.pdf,2000,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_7288531d178d,2000_EXPLORING-KNOWLEDGE-ATTITUDES-AND-PERCEPTIONS-OF-NEWSPAPER-JOURNALISTS-IN-METROPOLITAN-MARKETS-IN-THE-UNITED-STATES-REGARDING-FOOD-BIOTECHNOLOGY.pdf,2000,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_f7e39996c471,2000_FACTORS-INFLUENCING-AN-EXTENSION-AGENT-S-CHOICE-OF-PURSUING-EITHER-THE-FACULTY-OR-THE-ADMINISTRATIVE-AND-PROFESSIONAL-CAREER-TRACK.pdf,2000,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_1f33deeb46ff,2000_HIGHER-ORDER-AND-LOWER-ORDER-THINKING-SKILLS-ACHIEVEMENT-IN-SECONDARY-LEVEL-ANIMAL-SCIENCE-DOES-BLOCK-SCHEDULING-PATTERN-INFLUENCE-END-OF-COURSE-LEARNER-PERFORMANCE-.pdf,2000,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_fa3b0b2468cd,2000_IDENTIFYING-AND-CLARIFYING-ORGANIZATIONAL-VALUES.pdf,2000,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_4253b0358344,2000_IDENTIFYING-SOURCES-OF-BIAS-IN-AGRICULTURAL-NEWS-REPORTING.pdf,2000,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_4c70c05ea9a5,2000_INFORMATION-TECHNOLOGY-RELATED-PROFESSIONAL-DEVELOPMENT-NEEDS-OF-LOUISIANA-AGRISCIENCE-TEACHERS.pdf,2000,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_7ec5e64cb4f5,2000_INTEGRATING-SCIENCE-INTO-AGRICULTURE-PROGRAMS-IMPLICATIONS-FOR-ADDRESSING-STATE-STANDARDS-AND-TEACHER-PREPARATION-PROGRAMS.pdf,2000,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_057f0e8359e9,2000_LEARNING-STRATEGIES-FOR-DISTANCE-EDUCATION-STUDENTS.pdf,2000,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_487116433072,2000_MARKETING-STRATEGIES-FOR-RECRUITING-4-H-MEMBERS-IN-WEST-VIRGINIA.pdf,2000,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_d7e79d4cc1f9,2000_MOTIVATION-AND-RECOGNITION-PREFERENCES-OF-4-H-VOLUNTEERS.pdf,2000,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_cfa180e67d8d,2000_PERCEIVED-STRENGTHS-WEAKNESSES-OPPORTUNITIES-AND-THREATS-IMPACTING-THE-DIFFUSION-OF-DISTANCE-EDUCATION-TECHNOLOGIES-IN-A-COLLEGE-OF-AGRICULTURE-AND-LIFE-SCIENCES.pdf,2000,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_089459bd73bd,2000_PERCEPTIONS-OF-IOWA-SECONDARY-SCHOOL-PRINCIPALS-TOWARD-AGRICULTURAL-EDUCATION.pdf,2000,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_a160228eda77,2000_PERCEPTIONS-OF-UNDERGRADUATE-DIPLOMA-TEACHERS-CONCERNING-THE-USEFULNESS-OF-THE-COURSES-OFFERED-FOR-TRAINING-SECONDARY-AGRICULTURAL-EDUCATION-TEACHERS-AT-THE-BOTSWANA-COLLEGE-OF-AGRICULTURE.pdf,2000,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_41b0f1de891e,2000_REINVENTING-CAREER-EDUCATION-AND-RECRUITMENT-IN-AGRICULTURAL-EDUCATION-FOR-THE-21S-T-CENTURY.pdf,2000,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_ec542aa36bf8,2000_REVISITING-SUPERVISED-AGRICULTURAL-EXPERIENCE.pdf,2000,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_a5755f947a6e,2000_STUDENT-COMPUTER-USE-IN-SELECTED-UNDERGRADUATE-AGRICULTURE-COURSES-AN-EXAMINATION-OF-REQUIRED-TASKS.pdf,2000,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_73a46f71f2e5,2000_STUDENTS-ENROLLED-IN-SELECTED-UPPER-DIVISION-AGRICULTURE-COURSES-AN-EXAMINATION-OF-COMPUTER-EXPERIENCES-SELF-EFFICACY-AND-KNOWLEDGE.pdf,2000,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_2e2fa5153439,2000_STUDENTS-KNOWLEDGE-OF-AND-EXPECTED-IMPACT-FROM-SUSTAINABLE-AGRICULTURE.pdf,2000,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_fa3e21faaf7d,2000_TEACHER-EDUCATION-RESPONSE-TO-REINVENTING-AGRICULTURAL-EDUCATION-TARGET-YEAR-USE-OF-CONCEPT-MAPPING-TO-PLAN-FOR-CHANGE.pdf,2000,2000-2004,Route_A_Modern,pending,non_structurable,success,pending,0,0,1,0
jae_eba360e29179,2000_THE-EDUCATIONAL-VALUE-OF-4-H-ACTIVITIES-AS-PERCEIVED-BY-LOUISIANA-4-H-AGENTS.pdf,2000,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_e5b6de7fca1c,2000_THE-MOVE-TO-AGRISCIENCE-AND-ITS-IMPACT-ON-TEACHER-EDUCATION-IN-AGRICULTURE.pdf,2000,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_f63c38913114,2000_THE-USE-OF-LEARNING-STYLES-AND-ADMISSION-CRITERIA-IN-PREDICTING-ACADEMIC-PERFORMANCE-AND-RETENTION-OF-COLLEGE-FRESHMEN.pdf,2000,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_45a955eb62a5,2000_UNDERGRADUATE-AGRICULTURE-STUDENT-LEARNING-STYLES-AND-CRITICAL-THINKING-ABILITIES-IS-THERE-A-RELATIONSHIP-.pdf,2000,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_02900bb016da,10.5032_jae.2001.01061.pdf,2001,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_e2178595a673,2001_42.2.1.pdf,2001,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_459bde10b3dd,2001_42.2.2.pdf,2001,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_30cca6af1a9a,2001_42.2.4.pdf,2001,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_051ed77d3843,2001_42.2.5.pdf,2001,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_1c16513d0e3f,2001_42.2.6.pdf,2001,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_dabe2f15b998,2001_42.2.7.pdf,2001,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_18c76372ff36,2001_Choices-A-Dilemma-Of-Women-Agricultural-Education-Teachers.pdf,2001,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_cdff3ded0a84,2001_Competency-Assessment-And-Human-Resource-Management-Performance-Of-County-Extension-Chairs-In-Ohio.pdf,2001,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_0c2cae67385c,2001_Cooperating-Teachers-Perceptions-Of-Important-Elements-Of-The-Student-Teaching-Experience-A-Focus-Group-Approach-With-Quantitative-Follow-Up.pdf,2001,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_dbf4588ffcb4,2001_Effectiveness-Of-The-Indiana-4-H-Tractor-Program-Alumni-Perceptions.pdf,2001,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_38d87a580001,2001_Elementary-And-Middle-School-Agriculture-Curriculum-Development-An-Account-Of-Teacher-Struggle-At-Countryside-Charter-School.pdf,2001,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_413c18bde075,2001_Factors-Influencing-Career-Choice-Of-African-American-And-Hispanic-Graduates-Of-A-Land-Grant-College-Of-Agriculture.pdf,2001,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_e4a2668ad095,2001_Handling-Nonresponse-In-Social-Research.pdf,2001,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_2903802efa02,2001_Impact-Of-A-Professional-Development-Program-For-Agricultural-Education-Teachers-In-Costa-Rica.pdf,2001,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_ffd822d82b86,2001_Interest-In-Online-Leadership-Education-And-Implications-For-Instructional-Design-Strategies.pdf,2001,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_28e08fdf38d8,2001_Involvement-Of-Volunteers-In-Agricultural-Education-Programs-In-New-Mexico.pdf,2001,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_c22df592d1f5,2001_Levels-Of-Cognition-Reached-In-Agricultural-Distance-Education-Courses-In-Comparison-To-On-Campus-Courses-And-To-Faculty-Perceptions-Concerning-An-Appropriate-Level.pdf,2001,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_85e7bf2d89e2,2001_Looking-Down-The-Road-Ahead-The-View-From-A-Corner-Office.pdf,2001,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_4fbc2f0ce8d2,2001_Motivational-Needs-Of-Middle-Grad-Students-Enrolled-In-Agricultural-Education-In-Georgia.pdf,2001,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_8f03ed51ee9b,2001_Ohio-4-H-Agents-Perceptions-Of-The-Level-Of-Importance-And-Frequency-Of-Use-Of-The-Eighteen-Components-Of-The-Gems-Model-Of-Volunteer-Administration.pdf,2001,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_e7c0c666353e,2001_Perceptions-Of-Oregon-Secondary-Principals-Regarding-Integrating-Science-Into-Agricultural-Science-And-Technology-Programs.pdf,2001,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_cc8a4f2b3925,2001_Prospective-Elementary-Teacher-Understanding-Of-Pest-Related-Science-And-Agricultural-Education-Benchmarks.pdf,2001,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_4aee72ea00c5,2001_Stakeholder-Effect-A-Qualitative-Study-Of-The-Influence-Of-Farm-Leaders-Ideas-On-A-Sustainable-Agriculture-Education-Program-For-Adults.pdf,2001,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_0a4a90a0c1f3,2001_Stress-Professional-Development-Needs-Of-Extension-Faculty.pdf,2001,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_354c41a516ae,2001_The-Influence-Of-Enrollment-In-Agriscience-Courses-On-The-Science-Achievement-Of-High-School-Students.pdf,2001,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_db8cbefb1b78,2001_The-Influence-Of-Learning-Communities-And-4-H-FFA-Participation-On-College-Of-Agriculture-Students-Academic-Performance-And-Retention.pdf,2001,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_902641dd4c84,2001_Using-Agricultural-Education-As-The-Context-To-Teach-Life-Skills.pdf,2001,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_1ddf3b82e110,2001_Web-Based-Learning-Relationships-Among-Student-Motivation-Attitude-Learning-Styles-And-Achievement.pdf,2001,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_d8e27eb9ab83,2002_A-COMPARISON-OF-STUDENT-TEACHERS-PERCEPTIONS-OF-IMPORTANT-ELEMENTS-OF-THE-STUDENT-TEACHING-EXPERIENCE-BEFORE-AND-AFTER-AN-11-WEEK-FIELD-EXPERIENCE.pdf,2002,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_16edcb67a559,2002_A-COMPARISON-OF-THE-INSERVICE-EDUCATION-NEEDS-OF-TWO-COHORTS-OF-BEGINNING-MINNESOTA-AGRICULTURAL-EDUCATION-TEACHERS.pdf,2002,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_997daa4cacca,2002_A-COMPARISON-OF-TRADITIONAL-AND-WORLD-WIDE-WEB-METHODOLOGIES-COMPUTER-ANXIETY-AND-HIGHER-ORDER-THINKING-SKILLS-IN-THE-IN-SERVICE-TRAINING-OF-MISSISSIPPI-4-H-EXTENSION-AGENTS.pdf,2002,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_5baf5ed9d473,2002_A-FOLLOW-UP-STUDY-OF-AGRICULTURAL-EDUCATION-PROGRAM-GRADUATES-ON-TEACHING-COMPETENCIES.pdf,2002,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_d90c090c33cc,2002_A-QUALITATIVE-STUDY-OF-PROSPECTIVE-ELEMENTARY-TEACHERS-GRASP-OF-AGRICULTURAL-AND-SCIENCE-EDUCATIONAL-BENCHMARKS-FOR-AGRICULTURAL-TECHNOLOGY.pdf,2002,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_5c7bb25536b4,2002_A-RECRUITING-CHALLENGE-FOR-EXTENSION-EDUCATION-A-COMPARISON-OF-NONPARTICIPANTS-AND-PARTICIPANTS-IN-HOMEOWNER-LANDSCAPING-PROGRAMS.pdf,2002,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_61735bd479a8,2002_ACTIVE-LEARNING-THE-IMPACT-ON-STUDENTS-PARTICIPATING-IN-AN-EXTENDED-FIELD-TRIP-TO-PUERTO-RICO.pdf,2002,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_5fcce4c9867f,2002_ADULT-EDUCATION-PHILOSOPHIES-PRACTICED-BY-AGRICULTURAL-EDUCATION-TEACHERS-IN-PENNSYLVANIA-VIRGINIA-AND-WEST-VIRGINIA.pdf,2002,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_31b125dd422c,2002_ADVANCING-AGRICULTURAL-EDUCATION-WITHIN-THE-CONTEXT-OF-AN-INCREASINGLY-DIVERSE-SOCIETY.pdf,2002,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_316d982fe669,2002_AGRICULTURAL-EDUCATION-AT-A-DISTANCE-LET-S-HEAR-FROM-THE-STUDENTS.pdf,2002,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_8d82dc46d3fa,2002_AGRICULTURAL-EDUCATION-COMPETENCIES-AND-PROGRESS-TOWARD-A-DOCTORAL-DEGREE.pdf,2002,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_2b08cbddbe24,2002_AN-ANALYSIS-OF-THE-PERCEIVED-BENEFITS-AND-AFFORDANCES-OF-COURSE-WEBSITES-BY-ON-CAMPUS-AGRICULTURAL-STUDENTS-AND-FACULTY-MEMBERS.pdf,2002,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_6d243d714e24,2002_AN-INTERACTIVE-COMMUNICATION-NETWORK-S-POTENTIAL-AS-A-COMMUNICATION-AND-STUDENT-TEACHER-SUPERVISION-TOOL-IN-AGRICULTURAL-EDUCATION.pdf,2002,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_eb38b0164a92,2002_ASPIRATIONS-OF-RURAL-YOUTH.pdf,2002,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_7980e0bf9383,2002_CAN-SELECTED-LEARNING-STRATEGIES-INFLUENCE-THE-SUCCESS-OF-ADULT-DISTANCE-LEARNERS-IN-AGRICULTURE-.pdf,2002,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_f764d789d915,2002_COMPETENCY-BASED-BEHAVIORAL-ANCHORS-AS-AUTHENTICATION-TOOLS-TO-DOCUMENT-DISTANCE-EDUCATION-COMPETENCIES.pdf,2002,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_13ea7f3574b0,2002_EVALUATION-OF-THE-INCUBATORS-IN-THE-CLASSROOM-PROGRAM-DOES-IT-INCREASE-FOURTH-GRADE-STUDENTS-KNOWLEDGE-OF-AGRICULTURERELATED-SCIENCE-CONCEPTS-.pdf,2002,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_c58b4e2ece00,2002_FACTORS-ASSOCIATED-WITH-RESEARCH-PRODUCTIVITY-OF-AGRICULTURAL-EDUCATION-FACULTY.pdf,2002,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_4abfebf72043,2002_FACTORS-INFLUENCING-THE-INTENT-OF-NORTH-CAROLINA-AGRICULTURAL-EDUCATORS-TO-ADOPT-AGRICULTURAL-BIOTECHNOLOGY-CURRICULUM.pdf,2002,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_cf769843e9a1,2002_INSERVICE-NEEDS-AND-PERCEIVED-COMPETENCIES-OF-SOUTH-CAROLINA-AGRICULTURAL-EDUCATORS.pdf,2002,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_31c62add29c3,2002_INTEGRATING-SCIENCE-IN-AGRICULTURAL-EDUCATION-ATTITUDES-OF-INDIANA-AGRICULTURAL-SCIENCE-AND-BUSINESS-TEACHERS.pdf,2002,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_7841ddb92b74,2002_JOB-SATISFACTION-AS-AN-OUTCOME-MEASURE-OF-THE-EFFECTIVENESS-OF-AN-AGRICULTURAL-COMMUNICATIONS-ACADEMIC-PROGRAM.pdf,2002,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_38a7b7d53cd8,2002_LEADERSHIP-SELF-PERCEPTIONS-OF-WLC-PARTICIPANTS.pdf,2002,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_43804e0138e1,2002_PERCEPTIONS-HELD-BY-LEGISLATORS-TOWARD-THE-LOUISIANA-COOPERATIVE-EXTENSION-SERVICE.pdf,2002,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_709a5fb06ead,2002_RELATIONSHIPS-AMONG-LEARNING-STRATEGIES-PATTERNS-STYLES-AND-ACHIEVEMENT-IN-WEB-BASED-COURSES.pdf,2002,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_ee48da9cbcdf,2002_TEACHER-CHARACTERISTICS-EXPLAINING-THE-EXTENT-OF-AGRICULTURAL-AWARENESS-ACTIVITIES-INTEGRATED-INTO-THE-ELEMENTARY.pdf,2002,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_d47d447f595e,2002_TEACHING-BIOLOGY-USING-AGRICULTURE-AS-THE-CONTEXT-PERCEPTIONS-OF-HIGH-SCHOOL-STUDENTS.pdf,2002,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_d7f97fb558b7,2002_THE-ACADEMIC-PERFORMANCE-AND-RETENTION-OF-COLLEGE-OF-AGRICULTURE-STUDENTS.pdf,2002,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_c5e4a6f8ac43,2002_WHENCE-WE-CAME-THE-LAND-GRANT-TRADITION-ORIGIN-EVOLUTION-AND-IMPLICATIONS-FOR-THE-21ST-CENTURY.pdf,2002,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_24071d17a253,10.5032_jae.2003.03047.pdf,2003,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_57a18c801b6d,2003_44.1.10.pdf,2003,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_0ab5332bfc99,2003_44.1.7.pdf,2003,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_7a9f637bfac7,2003_44.1.8.pdf,2003,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_6cbae55f707e,2003_44.1.9.pdf,2003,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_56ee5f0eebde,2003_A-Delphi-Study-Of-Agricultural-Teacher-Perceptions-Of-Problems-In-Student-Retention.pdf,2003,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_1c218d58d101,2003_Agricultural-Communications-Students-Awareness-And-Perceptions-Of-Biotechnology-Issues.pdf,2003,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_cebc3ef434a5,2003_Agricultural-Education-And-Agricultural-Communications-Striking-A-Proper-Balance-In-The-Academy.pdf,2003,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_c88b5e887d62,2003_Agricultural-Education-Competencies-A-Comparison-Of-Master-s-Students-At-Texas-Tech-And-Texas-A-M-Universities.pdf,2003,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_722b36b16047,2003_Agricultural-Education-Research-Capacity-In-NCA-24-Institutions.pdf,2003,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_c6b0213facf3,2003_Certification-Measures-Are-They-Predictive-Of-Secondary-Agriculture-Teacher-Proficiency-.pdf,2003,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_d9056157c4b7,2003_Clinical-Experiences-For-Agricultural-Teacher-Education-Programs-In-North-Carolina-South-Carolina-Virginia.pdf,2003,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_6ec85e8463a3,2003_Concerns-Expressed-By-Student-Teachers-In-Agriculture.pdf,2003,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_6c9cd8388505,2003_Determining-Critical-Subject-Matter-Content-For-A-Safety-Certification-Program-For-Youth-Employed-In-Agricultural-Production.pdf,2003,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_ff98fff5d596,2003_Do-Agricultural-Leadership-Programs-Produce-Community-Leaders-A-Case-Study-Of-The-Impact-Of-An-Agricultural-Leadership-Program-On-Participants-Community-Involvement.pdf,2003,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_16254f46d15c,2003_Evaluation-Of-The-Incubators-In-The-Classroom-Program-Does-It-Increase-Fourth-Grade-Students-And-Teachers-Knowledge-About-Agricultural-Professions-.pdf,2003,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_df39e33bba78,2003_Footprints-In-The-Agricultural-Education-Profession-The-Application-Of-Principles.pdf,2003,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
